51,62
23,7
7,16
27,12
66,65
51,53
53,58
15,21
37,3
20,43
1,27
59,40
27,4
25,25
49,41
53,46
3,20
56,49
20,21
54,37
43,59
61,64
60,31
2,1
63,34
31,33
3,23
57,54
63,33
59,63
39,57
29,9
9,22
59,51
33,33
40,51
62,67
51,59
15,5
6,3
56,45
16,19
12,31
19,2
25,11
23,12
55,67
54,43
23,37
41,49
16,33
66,43
1,21
22,25
63,70
17,26
46,57
56,59
1,26
14,29
29,56
10,11
29,15
2,17
23,30
13,6
15,10
13,12
59,44
15,41
13,21
3,17
23,17
17,21
59,34
67,59
60,65
15,30
19,29
39,63
69,39
19,43
29,13
67,51
56,69
63,55
6,13
19,3
63,53
59,57
5,1
25,32
51,36
44,41
12,9
67,68
24,33
55,38
50,53
21,11
1,2
35,64
62,31
63,61
11,24
47,53
24,17
55,55
5,19
65,63
61,35
39,68
6,7
64,55
49,57
18,23
45,63
32,19
5,17
59,64
21,43
46,55
1,12
12,15
17,42
68,33
15,9
19,30
49,37
29,27
13,23
32,31
50,49
64,41
63,40
59,61
21,7
25,28
63,69
13,35
17,19
27,1
59,36
53,64
3,6
30,27
24,23
45,60
23,15
69,33
43,57
65,31
67,53
46,39
17,15
1,13
16,1
55,66
65,39
70,35
21,9
41,55
51,67
23,28
57,39
57,67
67,31
67,60
52,67
19,16
45,45
47,66
48,49
59,45
15,31
23,23
65,47
9,20
52,65
64,59
19,11
66,49
38,53
59,49
21,12
49,53
46,43
22,1
25,4
62,49
23,5
57,41
25,1
19,10
55,68
26,61
23,19
21,25
23,6
20,25
54,31
27,38
54,57
25,26
53,59
2,37
29,35
67,35
21,3
27,39
59,50
21,29
26,19
25,30
50,65
15,22
12,21
63,58
17,29
12,1
36,57
6,11
61,36
59,53
17,14
55,37
19,31
9,17
1,19
33,9
3,14
27,22
58,69
17,33
69,41
24,35
31,52
51,41
1,11
51,65
64,33
53,41
58,53
65,62
61,37
24,37
43,44
64,61
38,61
1,6
62,45
27,27
69,63
35,49
47,45
42,55
69,35
50,51
69,58
55,65
51,46
15,4
35,51
56,35
27,24
45,59
16,31
25,10
48,59
23,4
15,11
65,43
18,13
17,23
11,2
17,5
64,67
13,9
21,41
53,49
62,41
25,27
0,9
69,69
28,53
63,36
20,31
22,7
39,50
51,69
56,63
55,35
23,20
19,13
39,3
23,42
57,59
59,62
7,1
66,47
25,40
54,65
51,51
36,53
69,65
52,59
19,41
50,61
69,25
7,10
63,46
13,1
49,45
12,35
6,25
14,9
17,7
23,9
3,7
51,56
67,39
49,55
61,68
57,42
26,37
1,3
6,15
41,46
27,28
21,17
47,61
60,33
31,58
43,63
30,1
20,35
53,50
13,26
61,48
58,49
13,15
15,7
26,57
69,31
25,39
0,29
61,51
17,22
10,19
21,40
1,4
28,7
67,42
13,19
55,40
47,44
61,61
59,59
69,67
25,23
31,15
30,15
42,47
61,66
12,19
17,18
28,43
15,27
30,9
3,9
67,33
69,45
51,61
22,43
66,35
17,12
66,59
69,53
57,47
7,23
55,60
63,65
68,45
29,32
23,14
67,65
59,67
19,24
51,43
19,39
3,19
15,13
32,11
34,53
37,48
25,8
7,21
29,7
34,49
18,5
19,9
64,65
67,57
9,23
10,17
47,51
21,39
27,33
19,7
14,3
11,11
51,55
67,70
9,9
51,57
44,65
25,16
19,15
43,42
4,5
60,55
12,13
4,1
55,70
62,57
11,6
65,50
14,23
31,29
41,47
21,21
29,3
18,1
25,6
11,4
21,27
11,7
60,47
69,51
29,10
67,55
37,50
44,51
17,17
60,41
19,37
51,39
59,39
35,63
52,61
21,37
65,69
8,23
8,25
27,0
70,55
55,53
67,44
67,67
49,61
5,9
7,5
53,55
2,13
1,23
69,59
33,46
18,33
49,65
21,0
17,31
55,69
13,7
61,53
48,69
9,1
5,13
8,5
67,54
21,30
49,49
14,19
21,4
9,15
68,51
15,20
65,57
67,52
13,5
0,15
63,32
10,25
45,49
3,27
69,61
61,49
53,51
41,59
61,38
37,7
57,45
21,14
25,14
58,43
65,38
14,17
54,49
23,25
12,17
55,43
21,5
53,47
57,66
27,54
25,35
59,31
65,37
20,5
69,52
33,3
45,48
11,21
33,62
2,19
31,3
6,19
23,41
27,41
45,61
26,13
47,55
42,59
47,46
1,8
3,8
29,29
35,61
65,36
51,63
63,49
58,55
69,49
28,47
22,15
33,43
56,51
49,43
43,51
65,68
29,33
13,17
63,51
35,53
1,22
41,45
20,3
65,51
5,15
63,42
11,13
17,13
58,47
9,28
64,51
51,70
23,2
53,54
68,67
11,9
14,15
47,47
55,63
12,27
43,43
51,44
27,8
47,52
17,9
52,41
35,59
5,7
2,11
25,24
39,53
32,25
3,16
54,45
29,30
31,4
56,57
9,5
55,51
68,39
13,3
4,13
61,43
7,9
37,57
33,59
2,25
44,47
57,63
16,7
53,45
67,43
49,42
67,58
45,53
21,32
23,27
3,13
21,18
27,2
55,49
24,21
31,31
7,22
15,33
61,69
29,1
19,21
14,25
61,63
16,11
11,17
3,11
41,63
14,35
45,54
1,17
19,25
28,35
58,61
48,45
17,25
69,64
47,63
50,59
49,56
24,41
27,10
70,43
57,38
70,69
27,7
24,11
52,47
23,39
27,29
1,5
10,5
45,47
40,53
65,49
39,47
45,57
66,33
19,19
59,37
64,45
21,15
10,13
65,54
23,38
11,15
55,59
52,37
9,31
